Wall time,Step,Value
1549662103.4157543,0,0.045482929795980453
1549664510.0436788,1,0.514648973941803
1549666913.2306824,2,0.5832819938659668
1549669318.5553808,3,0.5837476253509521
1549671725.1763453,4,0.5848227143287659
1549674131.4265857,5,0.5839360356330872
1549676535.6589518,6,0.5768961906433105
1549678945.3637283,7,0.5607958436012268
1549681352.719144,8,0.5424313545227051
1549683763.3251357,9,0.5409301519393921
1549686175.799837,10,0.5422624945640564
1549688586.5573847,11,0.5451261401176453
1549690997.3647752,12,0.5534142255783081
1549693408.827507,13,0.5620838403701782
1549695824.4741793,14,0.5680977702140808
1549698236.451663,15,0.5738839507102966
1549700647.8075814,16,0.5821473598480225
1549703064.4419541,17,0.5892863273620605
1549705478.4038572,18,0.6023995876312256
1549707893.2904122,19,0.6172618865966797
1549710306.0737996,20,0.6262781023979187
1549712720.3345315,21,0.6319555640220642
1549715138.7286327,22,0.6433149576187134
1549717554.371838,23,0.6503247618675232
1549719971.7555766,24,0.6562401652336121
1549722388.6581573,25,0.660178542137146
1549724805.7093663,26,0.6615905165672302
1549727222.9389656,27,0.6632894277572632
1549729689.8941307,28,0.6753233075141907
1549732128.765137,29,0.6743272542953491
1549734576.2041285,30,0.6848693490028381
1549737003.2811954,31,0.6886740922927856
1549739429.5117068,32,0.691785454750061
1549741859.2352488,33,0.6958128213882446
1549744293.8563228,34,0.702168881893158
1549746722.435458,35,0.7059881091117859
1549749148.7843456,36,0.7123836874961853
1549751579.1188064,37,0.7119778394699097
1549754009.1151435,38,0.7129092216491699
1549756462.8322837,39,0.718373715877533
1549758894.396939,40,0.722906231880188
1549761324.0259776,41,0.7259085178375244
1549763753.0741158,42,0.7300401926040649
1549766181.0178206,43,0.7331412434577942
1549768612.7462654,44,0.7358068227767944
1549771042.1916747,45,0.7380462288856506
1549773471.7163312,46,0.7387295365333557
1549775901.020061,47,0.7416622042655945
1549778333.0522153,48,0.7337707281112671
1549780765.0052655,49,0.7378774285316467
